NAME,TRANSFER-FACTOR-SIZE,TRANSFER-FACTOR-TIME,MAKESPAN,N,T,STATUS,CONFIG,DISTRIBUTION,RUN_COUNT,RND_COUNT
aggregation0,0.4808478367939866,0.9142504468145565,173460.38499999998,0,0,SUCCESS,site_conf_2_site,0,1,-1
aggregation0,0.4591662612815632,0.8101737646431766,150233.2975,0,0,SUCCESS,site_conf_2_site,0,1,0
aggregation0,0.430077422240319,0.7478488688631554,142726.90999999997,0,0,SUCCESS,site_conf_2_site,0,1,1
aggregation0,0.509558036749934,0.9418324921196832,150120.6025,0,0,SUCCESS,site_conf_2_site,0,1,2
aggregation0,0.5500960004593234,0.9509363428162543,171382.41749999995,0,0,SUCCESS,site_conf_2_site,0,1,3
aggregation0,0.5240426995697313,0.9957467742769346,148889.36999999997,0,0,SUCCESS,site_conf_2_site,0,1,4
aggregation0,0.4732408319659754,0.8345126899470762,144680.37749999994,0,0,SUCCESS,site_conf_2_site,0,1,5
aggregation0,0.48912301869219216,0.8422710320459342,154332.55249999996,0,0,SUCCESS,site_conf_2_site,0,1,6
aggregation0,0.5051323055938215,0.8504940450526044,149115.46499999997,0,0,SUCCESS,site_conf_2_site,0,1,7
aggregation0,0.5171856183383969,0.8139249941615032,163544.5124999999,0,0,SUCCESS,site_conf_2_site,0,1,8
aggregation0,0.5377978430256959,0.8642766816431532,170239.08749999997,0,0,SUCCESS,site_conf_2_site,0,1,9
aggregation0,0.486089560571027,0.8071089587464443,154555.14250000002,0,0,SUCCESS,site_conf_2_site,0,1,10
aggregation0,0.4350619722559765,0.7968663651816497,141020.27500000002,0,0,SUCCESS,site_conf_2_site,0,1,11
aggregation0,0.4642373833384581,0.7613467733913903,149787.37999999995,0,0,SUCCESS,site_conf_2_site,0,1,12
aggregation0,0.5808656168416517,1.0454543462190127,176734.38249999995,0,0,SUCCESS,site_conf_2_site,0,1,13
aggregation0,0.56389625506451,1.0312445409087379,162333.38249999998,0,0,SUCCESS,site_conf_2_site,0,1,14
aggregation0,0.4557919308517992,0.909508945994343,138848.09249999997,0,0,SUCCESS,site_conf_2_site,0,1,15
aggregation0,0.4938599479401987,0.8292461700908847,164182.62749999997,0,0,SUCCESS,site_conf_2_site,0,1,16
aggregation0,0.5388886380152096,0.8956143298273834,173236.66749999992,0,0,SUCCESS,site_conf_2_site,0,1,17
aggregation0,0.470013724569183,0.8276366054670211,144597.78749999995,0,0,SUCCESS,site_conf_2_site,0,1,18
aggregation0,0.49795591891070295,0.8277407720435564,148832.90249999997,0,0,SUCCESS,site_conf_2_site,0,1,19
aggregation0,0.4198569843335143,0.8597162825549041,134887.06499999997,0,0,SUCCESS,site_conf_2_site,0,1,20
aggregation0,0.46265436768627805,0.8417909214149345,146865.44749999998,0,0,SUCCESS,site_conf_2_site,0,1,21
aggregation0,0.4501387257972212,0.7424183186253112,161322.38999999998,0,0,SUCCESS,site_conf_2_site,0,1,22
aggregation0,0.5501185673972617,0.9294905503279697,175163.44249999998,0,0,SUCCESS,site_conf_2_site,0,1,23
aggregation0,0.4374251840686675,0.7193458695561292,152231.77249999996,0,0,SUCCESS,site_conf_2_site,0,1,24
aggregation0,0.5154548178381304,0.8340228372582064,157830.58,0,0,SUCCESS,site_conf_2_site,0,1,25
aggregation0,0.4767469621341559,0.8543838980320684,158241.97249999995,0,0,SUCCESS,site_conf_2_site,0,1,26
aggregation0,0.4645325318923885,0.8059778516604746,147330.58,0,0,SUCCESS,site_conf_2_site,0,1,27
aggregation0,0.48973256517813457,0.9128447303311418,160011.81749999998,0,0,SUCCESS,site_conf_2_site,0,1,28
aggregation0,0.5020868599008077,0.8782355288107349,161734.01499999998,0,0,SUCCESS,site_conf_2_site,0,1,29
aggregation0,0.4427940717601308,0.9015291367440622,154490.22999999998,0,0,SUCCESS,site_conf_2_site,1,2,-1
aggregation0,0.5144653667821605,0.8722670845334667,165251.62249999997,0,0,SUCCESS,site_conf_2_site,1,2,0
aggregation0,0.5343867233903349,0.9747641788531579,158150.01749999993,0,0,SUCCESS,site_conf_2_site,1,2,1
aggregation0,0.46340472796361226,0.7616103380280692,156510.22749999998,0,0,SUCCESS,site_conf_2_site,1,2,2
aggregation0,0.4996791946825496,0.7815056822996559,158716.02249999996,0,0,SUCCESS,site_conf_2_site,1,2,3
aggregation0,0.516830999544853,0.7772972290578024,168906.86749999993,0,0,SUCCESS,site_conf_2_site,1,2,4
aggregation0,0.48278764290548737,0.9254147032680874,150498.71249999997,0,0,SUCCESS,site_conf_2_site,1,2,5
aggregation0,0.47620733315769775,0.8264217740780787,151927.37,0,0,SUCCESS,site_conf_2_site,1,2,6
aggregation0,0.47406725399448985,0.7168118609601191,165849.53749999998,0,0,SUCCESS,site_conf_2_site,1,2,7
aggregation0,0.4602958011506086,0.7684465626185254,154294.36249999996,0,0,SUCCESS,site_conf_2_site,1,2,8
aggregation0,0.5495936114698863,0.9002522234622703,176034.825,0,0,SUCCESS,site_conf_2_site,1,2,9
aggregation0,0.4893004962002348,0.9086716569861287,155377.03499999995,0,0,SUCCESS,site_conf_2_site,1,2,10
aggregation0,0.5138083669820744,0.9004000231555777,161179.66749999998,0,0,SUCCESS,site_conf_2_site,1,2,11
aggregation0,0.4818063843457407,0.8453534998405682,154138.49749999997,0,0,SUCCESS,site_conf_2_site,1,2,12
aggregation0,0.49328735499483634,0.8964101415024235,156126.24249999996,0,0,SUCCESS,site_conf_2_site,1,2,13
aggregation0,0.5099145451742267,0.9807927464108437,156218.15749999997,0,0,SUCCESS,site_conf_2_site,1,2,14
aggregation0,0.5973060896803596,0.9916448924418835,186495.7649999999,0,0,SUCCESS,site_conf_2_site,1,2,15
aggregation0,0.49092783346701707,0.8563851245106279,153261.5825,0,0,SUCCESS,site_conf_2_site,1,2,16
aggregation0,0.5907569922160054,1.0105796721622384,175456.11999999997,0,0,SUCCESS,site_conf_2_site,1,2,17
aggregation0,0.5079683291023223,0.8128998659982237,164261.815,0,0,SUCCESS,site_conf_2_site,1,2,18
aggregation0,0.51790618221864,0.982506706962364,152480.91999999998,0,0,SUCCESS,site_conf_2_site,1,2,19
aggregation0,0.4452664538159182,0.8397278708700303,137482.34999999998,0,0,SUCCESS,site_conf_2_site,1,2,20
aggregation0,0.48240133540574565,0.824561513665195,158034.1825,0,0,SUCCESS,site_conf_2_site,1,2,21
aggregation0,0.530368660632932,0.8783119799241732,164717.7475,0,0,SUCCESS,site_conf_2_site,1,2,22
aggregation0,0.46986888139508204,0.839104672541785,154820.4275,0,0,SUCCESS,site_conf_2_site,1,2,23
aggregation0,0.4783168021165761,0.9126331193964774,135993.78749999998,0,0,SUCCESS,site_conf_2_site,1,2,24
aggregation0,0.509540440086088,0.8959609173413138,160814.60749999995,0,0,SUCCESS,site_conf_2_site,1,2,25
aggregation0,0.5124703284795007,0.8851447391048065,153196.6225,0,0,SUCCESS,site_conf_2_site,1,2,26
aggregation0,0.5175755017118314,0.9958491610949092,150771.92250000002,0,0,SUCCESS,site_conf_2_site,1,2,27
aggregation0,0.5589758256661839,0.9226526006656741,175022.89749999996,0,0,SUCCESS,site_conf_2_site,1,2,28
aggregation0,0.5200868517189166,0.9168687312008805,162266.01999999996,0,0,SUCCESS,site_conf_2_site,1,2,29
aggregation0,0.3606001867258878,0.8597234601009509,125023.77999999997,0,0,SUCCESS,site_conf_2_site,2,3,-1
aggregation0,0.5268113485514321,0.8068546515562317,173312.01499999996,0,0,SUCCESS,site_conf_2_site,2,3,0
aggregation0,0.4685715556659828,0.8523666690313635,151111.7,0,0,SUCCESS,site_conf_2_site,2,3,1
aggregation0,0.5754230456922211,0.9511583985810783,189122.43749999994,0,0,SUCCESS,site_conf_2_site,2,3,2
aggregation0,0.44432222329842813,0.8800246280411436,125028.16499999996,0,0,SUCCESS,site_conf_2_site,2,3,3
aggregation0,0.46961458254567484,0.8014066867682593,152529.37499999994,0,0,SUCCESS,site_conf_2_site,2,3,4
aggregation0,0.5095885007671249,0.8576949695540901,163340.35749999998,0,0,SUCCESS,site_conf_2_site,2,3,5
aggregation0,0.5389529720149534,0.9582051016360441,160783.7975,0,0,SUCCESS,site_conf_2_site,2,3,6
