NAME,TRANSFER-FACTOR,N,T,STATUS,CONFIG,DISTRIBUTION
aggregation0,0.18414537522825844,0,60,SUCCESS,site_conf_3_site_large,0
aggregation0,0.18414537522825844,1,0,SUCCESS,site_conf_3_site_large,0
aggregation0,0.18414537522825844,1,1,SUCCESS,site_conf_3_site_large,0
aggregation0,0.18414537522825844,1,10,SUCCESS,site_conf_3_site_large,0
aggregation0,0.18414537522825844,1,60,SUCCESS,site_conf_3_site_large,0
aggregation0,0.18414537522825844,10,0,SUCCESS,site_conf_3_site_large,0
aggregation0,0.18414537522825844,10,1,SUCCESS,site_conf_3_site_large,0
aggregation0,0.18414537522825844,10,10,SUCCESS,site_conf_3_site_large,0
aggregation0,0.18414537522825844,10,60,SUCCESS,site_conf_3_site_large,0
aggregation0,0.18414537522825844,100,0,SUCCESS,site_conf_3_site_large,0
aggregation0,0.18414537522825844,100,1,SUCCESS,site_conf_3_site_large,0
aggregation0,0.18414537522825844,100,10,SUCCESS,site_conf_3_site_large,0
aggregation0,0.18414537522825844,100,60,SUCCESS,site_conf_3_site_large,0
aggregation0,0.17070216987415016,0,0,SUCCESS,site_conf_3_site_large,1
aggregation0,0.17070216987415016,0,1,SUCCESS,site_conf_3_site_large,1
aggregation0,0.17070216987415016,0,10,SUCCESS,site_conf_3_site_large,1
aggregation0,0.17070216987415016,0,60,SUCCESS,site_conf_3_site_large,1
aggregation0,0.17070216987415016,1,0,SUCCESS,site_conf_3_site_large,1
aggregation0,0.17070216987415016,1,1,SUCCESS,site_conf_3_site_large,1
aggregation0,0.17070216987415016,1,10,SUCCESS,site_conf_3_site_large,1
aggregation0,0.17070216987415016,1,60,SUCCESS,site_conf_3_site_large,1
aggregation0,0.17070216987415016,10,0,SUCCESS,site_conf_3_site_large,1
aggregation0,0.17070216987415016,10,1,SUCCESS,site_conf_3_site_large,1
aggregation0,0.17070216987415016,10,10,SUCCESS,site_conf_3_site_large,1
aggregation0,0.17070216987415016,10,60,SUCCESS,site_conf_3_site_large,1
aggregation0,0.17070216987415016,100,0,SUCCESS,site_conf_3_site_large,1
aggregation0,0.17070216987415016,100,1,SUCCESS,site_conf_3_site_large,1
aggregation0,0.17070216987415016,100,10,SUCCESS,site_conf_3_site_large,1
aggregation0,0.17070216987415016,100,60,SUCCESS,site_conf_3_site_large,1
aggregation0,0.1939446993945597,0,0,SUCCESS,site_conf_3_site_large,2
aggregation0,0.1939446993945597,0,1,SUCCESS,site_conf_3_site_large,2
aggregation0,0.1939446993945597,0,10,SUCCESS,site_conf_3_site_large,2
aggregation0,0.1939446993945597,0,60,SUCCESS,site_conf_3_site_large,2
aggregation0,0.1939446993945597,1,0,SUCCESS,site_conf_3_site_large,2
aggregation0,0.1939446993945597,1,1,SUCCESS,site_conf_3_site_large,2
aggregation0,0.1939446993945597,1,10,SUCCESS,site_conf_3_site_large,2
aggregation0,0.1939446993945597,1,60,SUCCESS,site_conf_3_site_large,2
aggregation0,0.1939446993945597,10,0,SUCCESS,site_conf_3_site_large,2
aggregation0,0.1939446993945597,10,1,SUCCESS,site_conf_3_site_large,2
aggregation0,0.1939446993945597,10,10,SUCCESS,site_conf_3_site_large,2
aggregation0,0.1939446993945597,10,60,SUCCESS,site_conf_3_site_large,2
aggregation0,0.1939446993945597,100,0,SUCCESS,site_conf_3_site_large,2
aggregation0,0.1939446993945597,100,1,SUCCESS,site_conf_3_site_large,2
aggregation0,0.1939446993945597,100,10,SUCCESS,site_conf_3_site_large,2
aggregation0,0.1939446993945597,100,60,SUCCESS,site_conf_3_site_large,2
aggregation0,0.1701719632865843,0,0,SUCCESS,site_conf_3_site_large,3
aggregation0,0.1701719632865843,0,1,SUCCESS,site_conf_3_site_large,3
aggregation0,0.1701719632865843,0,10,SUCCESS,site_conf_3_site_large,3
aggregation0,0.1701719632865843,0,60,SUCCESS,site_conf_3_site_large,3
aggregation0,0.1701719632865843,1,0,SUCCESS,site_conf_3_site_large,3
aggregation0,0.1701719632865843,1,1,SUCCESS,site_conf_3_site_large,3
aggregation0,0.1701719632865843,1,10,SUCCESS,site_conf_3_site_large,3
aggregation0,0.1701719632865843,1,60,SUCCESS,site_conf_3_site_large,3
aggregation0,0.1701719632865843,10,0,SUCCESS,site_conf_3_site_large,3
aggregation0,0.1701719632865843,10,1,SUCCESS,site_conf_3_site_large,3
aggregation0,0.1701719632865843,10,10,SUCCESS,site_conf_3_site_large,3
aggregation0,0.1701719632865843,10,60,SUCCESS,site_conf_3_site_large,3
aggregation0,0.1701719632865843,100,0,SUCCESS,site_conf_3_site_large,3
aggregation0,0.1701719632865843,100,1,SUCCESS,site_conf_3_site_large,3
aggregation0,0.1701719632865843,100,10,SUCCESS,site_conf_3_site_large,3
aggregation0,0.1701719632865843,100,60,SUCCESS,site_conf_3_site_large,3
aggregation0,0.1782938150400648,0,0,SUCCESS,site_conf_3_site_large,4
aggregation0,0.1782938150400648,0,1,SUCCESS,site_conf_3_site_large,4
aggregation0,0.1782938150400648,0,10,SUCCESS,site_conf_3_site_large,4
aggregation0,0.1782938150400648,0,60,SUCCESS,site_conf_3_site_large,4
aggregation0,0.1782938150400648,1,0,SUCCESS,site_conf_3_site_large,4
aggregation0,0.1782938150400648,1,1,SUCCESS,site_conf_3_site_large,4
aggregation0,0.1782938150400648,1,10,SUCCESS,site_conf_3_site_large,4
